а,б,в,г,д,е,ё,ж,з,и,й,к,л,м,н,о,п,р,с,т,у,ф,х,ц,ч,ш,щ,ъ,ы,ь,э,ю,я,X,target
1,0,1,0,0,1,0,0,0,2,1,1,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,Австрийские,amod
2,0,1,0,0,2,0,0,0,1,0,0,1,0,2,2,1,2,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,правоохранительные,amod
1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,органы,nsubj
0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,не,advmod
1,0,1,0,1,1,0,0,0,2,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,представили,root
2,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0,0,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,доказательств,obj
1,0,0,0,0,1,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,нарушения,nmod
0,0,0,0,0,0,0,0,0,3,1,1,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,российскими,amod
2,1,0,0,0,0,0,0,0,3,0,0,1,1,1,1,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,биатлонистами,nmod
1,0,1,1,1,0,0,0,0,2,0,0,0,0,2,2,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,антидопинговых,amod
1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,правил,nmod
0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Об,case
